"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-07","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","196.3","","","","1"
"2024-08","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","197.5","","","","1"
"2024-09","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","198.0","","","","1"
"2024-10","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","198.3","","","","1"
"2024-11","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","198.5","","","","1"
"2024-12","Canada","2016A000011124","Alcoholic beverages, tobacco products and recreational cannabis","2002=100","17","units","0","v41690922","1.9","194.9","","","","1"
"2023-12","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","154.4","","","","1"
"2024-01","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","154.2","","","","1"
"2024-02","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","154.4","","","","1"
"2024-03","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","154.8","","","","1"
"2024-04","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","155.2","","","","1"
"2024-05","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","155.5","","","","1"
"2024-06","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","155.6","","","","1"
"2024-07","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","156.0","","","","1"
"2024-08","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","156.0","","","","1"
"2024-09","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","155.9","","","","1"
"2024-10","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","156.3","","","","1"
"2024-11","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","156.7","","","","1"
"2024-12","Canada","2016A000011124","All-items excluding food","2002=100","17","units","0","v41690923","1.10","157.5","","","","1"
"2023-12","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","149.5","","","","1"
"2024-01","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","149.6","","","","1"
"2024-02","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","149.8","","","","1"
"2024-03","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","150.1","","","","1"
"2024-04","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","150.4","","","","1"
"2024-05","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","150.9","","","","1"
"2024-06","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","151.2","","","","1"
"2024-07","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","151.4","","","","1"
"2024-08","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","151.5","","","","1"
"2024-09","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","151.8","","","","1"
"2024-10","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","152.1","","","","1"
"2024-11","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","152.3","","","","1"
"2024-12","Canada","2016A000011124","All-items excluding food and energy","2002=100","17","units","0","v41690924","1.11","152.7","","","","1"


